Nombre,Color_RGB,Color_Hex,Archivo_Origen,Ruta_Foto
PN187,"(137, 172, 121)",#89AC79,PN187.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/pn187.jpg
PN193,"(223, 218, 199)",#DFDAC7,PN193.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/pn193.jpg
PN192,"(85, 56, 43)",#55382B,PN192.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/pn192.jpg
PN186,"(201, 199, 148)",#C9C794,PN186.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/pn186.jpg
PN151,"(250, 187, 27)",#FABB1B,PN151.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN151.jpg
PN145,"(132, 106, 66)",#846A42,PN145.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN145.jpg
PN153,"(145, 39, 67)",#912743,PN153.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN153.jpg
PN147,"(232, 229, 210)",#E8E5D2,PN147.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN147.jpg
PN190,"(221, 186, 160)",#DDBAA0,PN190.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/pn190.jpg
PN185,"(101, 98, 49)",#656231,PN185.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/pn185.jpg
PN191,"(158, 188, 163)",#9EBCA3,PN191.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/pn191.jpg
PN152,"(118, 58, 65)",#763A41,PN152.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN152.jpg
PN135,"(75, 117, 175)",#4B75AF,PN135.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN135.jpg
PN121,"(197, 42, 67)",#C52A43,PN121.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN121.jpg
PN109,"(190, 129, 90)",#BE815A,PN109.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN109.jpg
PN108,"(206, 159, 119)",#CE9F77,PN108.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN108.jpg
PN134,"(37, 44, 94)",#252C5E,PN134.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN134.jpg
PN122,"(173, 31, 63)",#AD1F3F,PN122.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN122.jpg
PN136,"(90, 172, 176)",#5AACB0,PN136.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN136.jpg
PN137,"(186, 211, 240)",#BAD3F0,PN137.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN137.jpg
PN132,"(133, 123, 121)",#857B79,PN132.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN132.jpg
PN118,"(225, 76, 71)",#E14C47,PN118.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN118.jpg
PN130,"(54, 46, 44)",#362E2C,PN130.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN130.jpg
PN124,"(117, 42, 53)",#752A35,PN124.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN124.jpg
PN131,"(94, 104, 123)",#5E687B,PN131.jpg,https://piccolo.com.co/wp-content/uploads/2024/01/PN1311-e1439162574524.jpg
